time(s),current(A),potential(V),frequency(Hz),amplitude(A),power(W)
0.44921875,0.275517718039193,0.10021832272058499,,,0.027611923581690987
0.45166015625,0.27649902216032396,0.100764354356645,,,0.027861245448228725
0.4541015625,0.277570401858328,0.101254293924436,,,0.028105195054486956
0.45654296875,0.278703275459775,0.101921669625046,,,0.02840590316482938
0.458984375,0.279229351473169,0.102408611398215,,,0.02859549014599136
0.46142578125,0.28000053698901595,0.102829768233836,,,0.028792390323930134
0.4638671875,0.2807715492826,0.10329142860568902,,,0.029001294437232376
0.46630859375,0.281366914201281,0.10373337015069198,,,0.029187138258999476
0.46875,0.282093408373218,0.10413121080591699,,,0.02937472817427119
0.47119140625,0.28262173627603304,0.104493877337572,,,0.029532241043359417
0.4736328125,0.28320081830197097,0.104822835334139,,,0.02968591274336092
0.47607421875,0.283481958035175,0.1050817115542,,,0.02978876934507209
0.478515625,0.28405030028079303,0.10550873074374902,,,0.029969786650007248
0.48095703125,0.284139682968614,0.105760778653837,,,0.030050834117215007
0.4833984375,0.28420204298337204,0.105909902281888,,,0.030099810600681867
0.48583984375,0.284582612295663,0.10610199429952699,,,0.030194782707538937
0.48828125,0.284595603965404,0.106391114936445,,,0.03027844361189028
0.49072265625,0.284374052690748,0.106594865044282,,,0.030312813768665823
0.4931640625,0.28438340669296197,0.106678270352444,,,0.030337529942940828
0.49560546875,0.284330227458154,0.106835055011197,,,0.03037643549183804
0.498046875,0.284041292723106,0.10694234274985001,,,0.03037604128150488
0.50048828125,0.283810387446236,0.10704959717967501,,,0.030381787651527055
0.5029296875,0.28343743991352693,0.10710182542376301,,,0.03035666720817688
0.50537109375,0.282984290472949,0.10708557071514399,,,0.030303534248715826
0.5078125,0.282516243917733,0.10722676684186,,,0.030293303415604805
0.51025390625,0.282036071804093,0.10713979748897999,,,0.030217287617677946
0.5126953125,0.281552262022924,0.107124708589381,,,0.030161204021886778
0.51513671875,0.280797012955293,0.10707301328655901,,,0.03006578229898817
0.517578125,0.28016007469344,0.10702148452788199,,,0.02998314709913425
0.52001953125,0.279197305354473,0.106848012145731,,,0.0298316770735701
0.5224609375,0.27821652090013205,0.10686133567738698,,,0.02973058903090376
0.52490234375,0.2776260062048211,0.10670305212132301,,,0.02962354221030777
0.52734375,0.276470094042367,0.10644214406268401,,,0.029428069579081426
0.52978515625,0.27538208500709305,0.106300947935968,,,0.029273376680837314
0.5322265625,0.27414579771450504,0.10610562496190303,,,0.029088411197177002
0.53466796875,0.272907085310232,0.105806111970294,,,0.028875237625820987
0.537109375,0.27190863218504296,0.105570285459997,,,0.028705471918812314
0.53955078125,0.270595260985323,0.105240794522163,,,0.02847766026002745
0.5419921875,0.26915543753345395,0.10501136330706,,,0.028264379436896227
0.54443359375,0.267809327325985,0.104598467061065,,,0.028012445102953018
0.546875,0.26610915081249903,0.104088708739937,,,0.02769895789195418
0.54931640625,0.264756111714502,0.10389968113457901,,,0.027508075585567733
0.5517578125,0.26303255019548105,0.103518195114461,,,0.027228654852590066
0.55419921875,0.26142920492713395,0.10302669003170001,,,0.02693418566126161
0.556640625,0.25953328725621105,0.10258847907556,,,0.02662512520909511
0.55908203125,0.257645857476186,0.102164257827658,,,0.026322197811425096
0.5615234375,0.255993317085085,0.101477463079661,,,0.025977552383141665
0.56396484375,0.253931798930526,0.10106270153923401,,,0.025663033606636527
0.56640625,0.251969710355054,0.10058505292939501,,,0.025344386652667437
0.56884765625,0.25004919512275403,0.0999398942178202,,,0.02498989010981912
0.5712890625,0.24801244775183498,0.0994254726606125,,,0.024658754843441655
0.57373046875,0.245641208190642,0.09881365608700501,,,0.0242727058669465
0.576171875,0.24347246545515,0.0980992483196528,,,0.023884465847682848
0.57861328125,0.241229237146475,0.0975560479340696,,,0.023533371022160562
0.5810546875,0.23873345077802804,0.09685003399166,,,0.023121342822798308
0.58349609375,0.23649351369235397,0.0960219764992885,,,0.022708574614001376
0.5859375,0.233952516313207,0.0955246090625996,,,0.022348222660030552
0.58837890625,0.231566379637377,0.0946857595095874,,,0.021926038532850495
0.5908203125,0.229006847476065,0.09399959762934401,,,0.021526551517114665
0.59326171875,0.226380278298888,0.0931917919050882,,,0.021096783786645923
0.595703125,0.223738292340285,0.0922868909438956,,,0.020648111385181314
0.59814453125,0.220856047102598,0.0914888780154066,,,0.020205871952334486
0.6005859375,0.218173873578928,0.090684936115331,,,0.01978508378753939
0.60302734375,0.21529873045403303,0.0898084142765638,,,0.01933563757783404
0.60546875,0.21254865380318103,0.08889921647641198,,,0.018895408786218936
0.60791015625,0.209554160538929,0.0880462439798455,,,0.018450456745802257
0.6103515625,0.206635538625966,0.0870844182296557,,,0.017994735666813796
0.61279296875,0.20383730618594,0.0861196613025017,,,0.01755439976954749
0.615234375,0.20039260825958397,0.0852022029127237,,,0.017073891671143027
0.61767578125,0.19728552052423998,0.084195743331489,,,0.016610601049078116
0.6201171875,0.19439288195076,0.0831766597040109,,,0.016168950590900327
0.62255859375,0.190998245258474,0.0821771949768952,,,0.01569570004085047
0.625,0.18781875061710399,0.0811948842967856,,,0.015249921725122588
0.62744140625,0.18453618872912,0.0800886314634535,,,0.014779250810796795
0.6298828125,0.181251201729451,0.0789845103951858,,,0.01431603742713974
0.63232421875,0.177822440251311,0.077846547556514,,,0.013842863051639051
0.634765625,0.174418471209594,0.0767016564813816,,,0.013378185662726024
0.63720703125,0.17087657394078898,0.075574752173984,,,0.01291395472791458
0.6396484375,0.16738387179473901,0.0744165375671964,,,0.012456128183555983
0.64208984375,0.16386626894835002,0.0733328015023611,,,0.01201677257372187
0.64453125,0.160122589395679,0.071981662157206,,,0.011525890133616781
0.64697265625,0.156573784889129,0.0707669557762007,,,0.011080250110961351
0.6494140625,0.153042649053427,0.0695430561583525,,,0.010643053537745507
0.65185546875,0.149283725941593,0.0683051668322667,,,0.010196849805782891
0.654296875,0.14549985882385502,0.0670599828725997,,,0.009757218040693393
0.65673828125,0.141663505360363,0.065693654701358,,,0.009306393404927666
0.6591796875,0.13790215713684398,0.06441376294172901,,,0.008882796858965732
0.66162109375,0.134028734109023,0.0630599588902427,,,0.008451846463026259
0.6640625,0.130268598441346,0.0617608812450308,,,0.008045503438292575
0.66650390625,0.12621623681562,0.0603680725546241,,,0.007619430941656965
0.6689453125,0.12239616624487,0.0589793941590302,,,0.007218851732510375
0.67138671875,0.11845224175591901,0.0576326515793215,,,0.006826716777908438
0.673828125,0.114430713693047,0.0562292506812487,,,0.006434353285880537
0.67626953125,0.11054531667628,0.0547900427918528,,,0.0060567826311323
0.6787109375,0.10640482822414302,0.0533399096064993,,,0.005675623919170874
0.68115234375,0.10234534283284201,0.0518624631812528,,,0.005307881574440964
0.68359375,0.09825900799074301,0.0504621600042898,,,0.004958361783091663
0.68603515625,0.0941536836580385,0.04897831828384901,,,0.004611489085800243
0.6884765625,0.0899654941251669,0.0474964750931561,,,0.004273043850959471
0.69091796875,0.0858497331511035,0.0459438839493744,,,0.00394427017697906
0.693359375,0.0816625829518113,0.0444315298711913,,,0.0036283934937820406
0.69580078125,0.0775516938539009,0.0429154452041445,,,0.0033281654680756743
0.6982421875,0.0732204443843941,0.041389900829623,,,0.003030586931770998
0.70068359375,0.0689427205942216,0.0397431456258679,,,0.002740000584419671
0.703125,0.0647003124929628,0.0381964834536723,,,0.0024713244155848807
0.70556640625,0.0604506940149976,0.0366243067183576,,,0.002213964758942856
0.7080078125,0.0561376112303458,0.0350544282922529,,,0.001967871867372528
0.71044921875,0.0518609267737527,0.0334479101540963,,,0.001734639619236648
0.712890625,0.0475463066415148,0.0317929942872026,,,0.0015116394554312632
0.71533203125,0.0432533392921792,0.0301970350478831,,,0.0013061226025439146
0.7177734375,0.0389284990464114,0.0285520119032432,,,0.00111148696814853
0.72021484375,0.0345908403531656,0.0269413301614443,,,0.0009319232505164449
0.72265625,0.0302718896643472,0.0252656295851685,,,0.0007648383511024871
0.72509765625,0.0259302685118302,0.023629366662592004,,,0.0006127158223254997
0.7275390625,0.021578730384744,0.0219692879271816,,,0.00047406934092546313
0.72998046875,0.017222710131597,0.0202482540344486,,,0.00034872980990624774
0.732421875,0.0128327383148592,0.0185791819151708,,,0.00023842177962155145
0.73486328125,0.00843271960685475,0.0169213681801419,,,0.0001426931532274907
0.7373046875,0.00403480121879184,0.0152252826004333,,,6.143098879267847e-05
0.73974609375,-0.00030755612834384,0.0134891264992718,,,-4.148663520856331e-06
0.7421875,-0.004689343193144561,0.0118134925406541,,,-5.5397520832780345e-05
0.74462890625,-0.00905012705853007,0.0100982543841912,,,-9.139048524628868e-05
0.7470703125,-0.0134826682464537,0.00838125085978403,,,-0.00011300162483277291
0.74951171875,-0.0178245275795826,0.006691060942833,,,-0.00011926500031219476
0.751953125,-0.0221903781961673,0.00496606329943239,,,-0.00011019882276051116
0.75439453125,-0.0265777516789568,0.00325325668749699,,,-8.646424838820056e-05
0.7568359375,-0.0308826713644544,0.00152759286751358,,,-4.717614850610642e-05
0.75927734375,-0.0352683126246118,-0.000185913229834078,,,6.556845910839568e-06
0.76171875,-0.039616537875914,-0.0019027835189247,,,7.53816953471453e-05
0.76416015625,-0.0439069068913013,-0.00365376204905266,,,0.00016042539009072538
0.7666015625,-0.0482414475838093,-0.005379409214621321,,,0.0002595104876590152
0.76904296875,-0.0525708349139865,-0.00710522292433557,,,0.0003735275013823177
0.771484375,-0.05687224684865401,-0.00880250762189316,,,0.0005006183863594661
0.77392578125,-0.0610441318360001,-0.0105103179094579,,,0.000641593232103221
0.7763671875,-0.0653927035318287,-0.0122399787889376,,,0.0008004053041808681
0.77880859375,-0.0697029931074862,-0.0139367305452289,,,0.0009714318331349825
0.78125,-0.0738801180682946,-0.0156324330734026,,,0.0011549260011576975
0.78369140625,-0.0782278236528072,-0.0173580802389708,,,0.0013578848398854851
0.7861328125,-0.0822855118631267,-0.0190448393465208,,,0.0015671143539794793
0.78857421875,-0.0864868446352199,-0.0207298663949556,,,0.0017928607342093908
0.791015625,-0.0906618476233039,-0.0224270178571966,,,0.0020332748756142736
0.79345703125,-0.0947321810588384,-0.0241244357900707,,,0.002285360419207299
0.7958984375,-0.0988456035323484,-0.0257761540093671,,,0.002547859499798653
0.79833984375,-0.102977257649062,-0.0274810164655537,,,0.0028299197130314388
0.80078125,-0.107019052716731,-0.0291322350524132,,,0.0031177041988304072
0.80322265625,-0.11106608775786302,-0.0307543417226062,,,0.0034157644166982882
0.8056640625,-0.115086879626117,-0.0323911542408637,,,0.00372779686906927
