time(s),current(A),potential(V),frequency(Hz),amplitude(A)
0,-0.284471230380413,-0.105757980712189,1,0.3
0.00244140625,-0.284076976509329,-0.105702954526453,,
0.0048828125,-0.283850055344513,-0.105894929963191,,
0.00732421875,-0.283256076203938,-0.105730401001663,,
0.009765625,-0.282668679509365,-0.1058039468964,,
0.01220703125,-0.282137406828075,-0.105777966009672,,
0.0146484375,-0.281446423220098,-0.105785677003618,,
0.01708984375,-0.280674025148408,-0.105582376564974,,
0.01953125,-0.279851912287175,-0.105436617128666,,
0.02197265625,-0.279289979265295,-0.105358940939116,,
0.0244140625,-0.278308372005204,-0.105172278260627,,
0.02685546875,-0.27728787634702,-0.105126711782366,,
0.029296875,-0.276119622098311,-0.104885955565356,,
0.03173828125,-0.274937250235149,-0.104628944639727,,
0.0341796875,-0.27381420699714,-0.104393534489794,,
0.03662109375,-0.272261485935218,-0.104057631602351,,
0.0390625,-0.271336132605107,-0.103665120359789,,
0.04150390625,-0.269672852433686,-0.103470063856356,,
0.0439453125,-0.268415951691775,-0.103238900582138,,
0.04638671875,-0.266811523784283,-0.102728759209475,,
0.048828125,-0.265261530973007,-0.102478376740844,,
0.05126953125,-0.263778791705425,-0.102077604908656,,
0.0537109375,-0.261984209058485,-0.101718668965864,,
0.05615234375,-0.260308326967415,-0.101160696114559,,
0.05859375,-0.258471608004947,-0.100647340439883,,
0.06103515625,-0.256523550432796,-0.100294799792286,,
0.0634765625,-0.254726672590868,-0.0997903708838201,,
0.06591796875,-0.252681827079144,-0.0992594448017745,,
0.068359375,-0.250634339927905,-0.0986372358734759,,
0.07080078125,-0.248538696987492,-0.0981792894360716,,
0.0732421875,-0.246271953756585,-0.0975505519772621,,
0.07568359375,-0.244195495181823,-0.0969323401084603,,
0.078125,-0.241844825764387,-0.0963270520653641,,
0.08056640625,-0.239412828494369,-0.095669269307546,,
0.0830078125,-0.236983256336037,-0.094962739078285,,
0.08544921875,-0.234706033158206,-0.0941935715958295,,
0.087890625,-0.232125194658518,-0.093543233361324,,
0.09033203125,-0.229651580739763,-0.0927291489227757,,
0.0927734375,-0.22688851241917,-0.0920584589936673,,
0.09521484375,-0.224364534127384,-0.0913838885859639,,
0.09765625,-0.221657589820074,-0.090490812259115,,
0.10009765625,-0.218967058322204,-0.089639322005445,,
0.1025390625,-0.216225296339987,-0.0888829284589638,,
0.10498046875,-0.213092052042897,-0.0880228778362051,,
0.107421875,-0.210181571576305,-0.0872038969997742,,
0.10986328125,-0.207155378637884,-0.0862462015443972,,
0.1123046875,-0.204131091144358,-0.0853565893357788,,
0.11474609375,-0.201117370208889,-0.0843357403403564,,
0.1171875,-0.197868586662232,-0.0835499184433322,,
0.11962890625,-0.194725078946046,-0.0824805717926846,,
0.1220703125,-0.191525880272236,-0.0815536536954315,,
0.12451171875,-0.188297883397166,-0.0804240846817028,,
0.126953125,-0.185061874992422,-0.0794969001138166,,
0.12939453125,-0.1817242717303,-0.0783687966885696,,
0.1318359375,-0.178322532925222,-0.0773556753415074,,
0.13427734375,-0.174726395435247,-0.0762007916176333,,
0.13671875,-0.171342715051109,-0.0750424437755295,,
0.13916015625,-0.167721676860797,-0.074011202425416,,
0.1416015625,-0.164258270930013,-0.0728629804673697,,
0.14404296875,-0.160804911890496,-0.0717541795086083,,
0.146484375,-0.156877443516551,-0.0705781280238171,,
0.14892578125,-0.153381645022545,-0.0693667525257253,,
0.1513671875,-0.14960869090739,-0.06812594867709,,
0.15380859375,-0.145952142153118,-0.0669397379994119,,
0.15625,-0.142129516553986,-0.0657338251492985,,
0.15869140625,-0.138475825967057,-0.0644453064029231,,
0.1611328125,-0.134541125563622,-0.063134787174902,,
0.16357421875,-0.130719149547977,-0.0618614572546132,,
0.166015625,-0.126842781741681,-0.0605672260440402,,
0.16845703125,-0.12286819691214,-0.0592402189455958,,
0.1708984375,-0.118891706637704,-0.0579042517721131,,
0.17333984375,-0.115005118717878,-0.056566835664563,,
0.17578125,-0.1108917828555,-0.055134156305678,,
0.17822265625,-0.106865231346994,-0.053786064718389,,
0.1806640625,-0.102847687396175,-0.0523567328968322,,
0.18310546875,-0.098737339617837,-0.0509553638373372,,
0.185546875,-0.0946094097797825,-0.0495189538895886,,
0.18798828125,-0.0905766222698006,-0.0480680212923361,,
0.1904296875,-0.0863316374873764,-0.0466556103559816,,
0.19287109375,-0.0821815785051958,-0.0452114561054584,,
0.1953125,-0.0780034575163738,-0.0436941723205631,,
0.19775390625,-0.0737052934991417,-0.0421668958869259,,
0.2001953125,-0.0695507307381174,-0.0407009076989029,,
0.20263671875,-0.06518903745585,-0.0392004115638929,,
0.205078125,-0.061041706724315,-0.0376367618888374,,
0.20751953125,-0.0567215434796542,-0.0360892336870844,,
0.2099609375,-0.0524641299998441,-0.0345111945978411,,
0.21240234375,-0.0481581276752013,-0.0329420989292211,,
0.21484375,-0.0438055718673187,-0.0313451237706128,,
0.21728515625,-0.039464102284282,-0.0297610890921245,,
0.2197265625,-0.0351609148214165,-0.0281630480509838,,
0.22216796875,-0.0308045481237431,-0.0265870241459036,,
0.224609375,-0.026384955299995,-0.0250167127050203,,
0.22705078125,-0.0220817678371295,-0.0233648612504069,,
0.2294921875,-0.0176930518818001,-0.0217178062671897,,
0.23193359375,-0.0133229573197666,-0.0200622242237127,,
0.234375,-0.00896213014881525,-0.0184029115913726,,
0.23681640625,-0.00457986672279068,-0.0167949112103196,,
0.2392578125,-0.000192536545566983,-0.0151048045654414,,
0.24169921875,0.00421096826048471,-0.0134448091021042,,
0.244140625,0.00857302964006146,-0.0117780519464517,,
0.24658203125,0.0129325143384728,-0.0100819663667431,,
0.2490234375,0.0173231790442635,-0.00839840490679045,,
0.25146484375,0.0216604912929829,-0.00676773786750884,,
0.25390625,0.0260464789976667,-0.00505140051968445,,
0.25634765625,0.0303619652412207,-0.0033260031703346,,
0.2587890625,0.0346727744836677,-0.00168732535764526,,
0.26123046875,0.0390887296398882,3.3392101210783E-05,,
0.263671875,0.0433713036534308,0.00174743113982467,,
0.26611328125,0.04774897668948,0.00347136290069239,,
0.2685546875,0.0520635968217179,0.00515312568387172,,
0.27099609375,0.0562976686015593,0.00683545471714631,,
0.2734375,0.0605249847131353,0.0085545900066184,,
0.27587890625,0.0648399512898996,0.0102171002865559,,
0.2783203125,0.0691245823178178,0.0119607508742732,,
0.28076171875,0.0732763951754135,0.0136279576991192,,
0.283203125,0.0775972513091273,0.0153390655607688,,
0.28564453125,0.0816797536086528,0.017038881729341,,
0.2880859375,0.0860203354275905,0.0187013920092785,,
0.29052734375,0.0901182761613254,0.020373328687862,,
0.29296875,0.0942487610277623,0.0220412016892904,,
0.29541015625,0.0983601697924624,0.0237538084482516,,
0.2978515625,0.102368034949324,0.0254253787297145,,
0.30029296875,0.106502677150078,0.0270801613612917,,
0.302734375,0.110551227886013,0.0287196219314656,,
0.30517578125,0.114619352737691,0.0303390972041568,,
0.3076171875,0.118521010994417,0.0320545019047653,,
0.31005859375,0.122502546367269,0.0336661162937797,,
0.3125,0.126479707877975,0.035306376275853,,
0.31494140625,0.130251969104077,0.0369004036030827,,
0.3173828125,0.134141696677424,0.0384905671061322,,
0.31982421875,0.138082979526861,0.0401382882659322,,
0.322265625,0.141874143632436,0.0417104650012474,,
0.32470703125,0.145640688523852,0.0432312129043733,,
0.3271484375,0.14939822585758,0.0448260063346728,,
0.32958984375,0.153079047381486,0.0462849663597478,,
0.33203125,0.156795509386048,0.0478668359643422,,
0.33447265625,0.16025248444031,0.0494353154196228,,
0.3369140625,0.163905243957574,0.0509975328150256,,
0.33935546875,0.167454936228224,0.0524501641625643,,
0.341796875,0.170954177514711,0.0539137541148893,,
0.34423828125,0.174603104489401,0.0553954640702656,,
0.3466796875,0.1778983116026,0.0568031951161263,,
0.34912109375,0.181445903553308,0.0582621884500303,,
0.3515625,0.184484741716944,0.0596484686099257,,
0.35400390625,0.18791003874982,0.061042776197644,,
0.3564453125,0.191112571952198,0.0624985052662921,,
0.35888671875,0.194397039285077,0.0638329901968784,,
0.361328125,0.197579132260395,0.0651370641664615,,
0.36376953125,0.200528934180737,0.066589229190392,,
0.3662109375,0.203786032396028,0.067856297050803,,
0.36865234375,0.206533164268404,0.0691749269787194,,
0.37109375,0.209604568217526,0.070425873365827,,
0.37353515625,0.212593171924828,0.0716646953391287,,
0.3759765625,0.215546784734961,0.0729281658459926,,
0.37841796875,0.218406337856167,0.0740862472174637,,
0.380859375,0.221099251160156,0.0752660792543618,,
0.38330078125,0.223860587258117,0.0766215820561338,,
0.3857421875,0.226550555783632,0.0777310325370633,,
0.38818359375,0.228992470028218,0.0788775224359943,,
0.390625,0.231607260091496,0.0799316802605547,,
0.39306640625,0.234179091033496,0.0810169818403592,,
0.3955078125,0.236710734410429,0.0821753296824634,,
0.39794921875,0.238971284945426,0.0831552088180461,,
0.400390625,0.241263188710066,0.0841872162712298,,
0.40283203125,0.24364360905121,0.0852215220336237,,
0.4052734375,0.245526535052391,0.0861862789607777,,
0.40771484375,0.248045359981846,0.0872235159001362,,
0.41015625,0.250099083134561,0.0881994645938802,,
0.41259765625,0.252237685196252,0.0890804165069228,,
0.4150390625,0.254041621845406,0.089930591061842,,
0.41748046875,0.256053598432685,0.0908726646763531,,
0.419921875,0.25783553585441,0.0917199413631371,,
0.42236328125,0.259674463400734,0.0926501903433041,,
0.4248046875,0.261493123942262,0.0933498089905194,,
0.42724609375,0.263092138654028,0.0941627109656329,,
0.4296875,0.264623423460877,0.0949335771983741,,
0.43212890625,0.266284105298349,0.095773759104552,,
0.4345703125,0.267777974096343,0.0964024965633614,,
0.43701171875,0.26933610835399,0.0970564154969993,,
0.439453125,0.270781474918282,0.0977983696660489,,
0.44189453125,0.271972724422434,0.0984000936644276,,
0.4443359375,0.273173327928799,0.0990782281168485,,
0.44677734375,0.274425032002813,0.099674855864369,,
0.44921875,0.275517718039193,0.100218322720585,,
0.45166015625,0.276499022160324,0.100764354356645,,
0.4541015625,0.277570401858328,0.101254293924436,,
0.45654296875,0.278703275459775,0.101921669625046,,
0.458984375,0.279229351473169,0.102408611398215,,
0.46142578125,0.280000536989016,0.102829768233836,,
0.4638671875,0.2807715492826,0.103291428605689,,
0.46630859375,0.281366914201281,0.103733370150692,,
0.46875,0.282093408373218,0.104131210805917,,
0.47119140625,0.282621736276033,0.104493877337572,,
0.4736328125,0.283200818301971,0.104822835334139,,
0.47607421875,0.283481958035175,0.1050817115542,,
0.478515625,0.284050300280793,0.105508730743749,,
0.48095703125,0.284139682968614,0.105760778653837,,
0.4833984375,0.284202042983372,0.105909902281888,,
0.48583984375,0.284582612295663,0.106101994299527,,
0.48828125,0.284595603965404,0.106391114936445,,
0.49072265625,0.284374052690748,0.106594865044282,,
0.4931640625,0.284383406692962,0.106678270352444,,
0.49560546875,0.284330227458154,0.106835055011197,,
0.498046875,0.284041292723106,0.10694234274985,,
0.50048828125,0.283810387446236,0.107049597179675,,
0.5029296875,0.283437439913527,0.107101825423763,,
0.50537109375,0.282984290472949,0.107085570715144,,
0.5078125,0.282516243917733,0.10722676684186,,
0.51025390625,0.282036071804093,0.10713979748898,,
0.5126953125,0.281552262022924,0.107124708589381,,
0.51513671875,0.280797012955293,0.107073013286559,,
0.517578125,0.28016007469344,0.107021484527882,,
0.52001953125,0.279197305354473,0.106848012145731,,
0.5224609375,0.278216520900132,0.106861335677387,,
0.52490234375,0.277626006204821,0.106703052121323,,
0.52734375,0.276470094042367,0.106442144062684,,
0.52978515625,0.275382085007093,0.106300947935968,,
0.5322265625,0.274145797714505,0.106105624961903,,
0.53466796875,0.272907085310232,0.105806111970294,,
